"playersSeason";"playerID";"WOBA";"SLG";"BA";"ISO";"speedRatio"
21.0;"aaronha01";0.30349090909090903;0.3548;0.2344;0.1204;0.7248
8.0;"allendi01";0.3687297637795276;0.4681;0.2951;0.173;0.7037
11.0;"aloufe01";0.2892041916167665;0.3445;0.2815;0.063;0.8582
17.0;"aparilu01";0.2803881386861314;0.3086;0.2705;0.0381;0.8667
13.0;"bandosa01";0.2991955056179776;0.3445;0.2458;0.0987;0.7778
1.0;"bankser01";0.3262172360248447;0.4266;0.2749;0.1518;0.7239
4.0;"baylodo01";0.3129114814814815;0.3824;0.272;0.1104;0.7519
4.0;"bellbu01";0.30146646248085757;0.3659;0.2815;0.0844;0.7941
6.0;"benchjo01";0.32923223270440255;0.4291;0.2531;0.1759;0.6809
9.0;"bollifr01";0.26864641638225256;0.3118;0.2435;0.0683;0.8106
11.0;"bondsbo01";0.356808025682183;0.4628;0.2751;0.1877;0.6622
1.0;"bowala01";0.2592315942028986;0.2923;0.2492;0.0431;0.858
10.0;"boyerke01";0.30643685092127304;0.3738;0.2598;0.114;0.7626
1.0;"brettge01";0.28943207547169814;0.3632;0.2823;0.081;0.7829
13.0;"brocklo01";0.3213448023426062;0.3811;0.3055;0.0756;0.8196
4.0;"bucknbi01";0.27770756302521005;0.3513;0.2748;0.0765;0.8228
12.0;"campabe01";0.28153409461663953;0.291;0.2556;0.0354;0.8832
12.0;"cardele01";0.2451659829059829;0.2831;0.2232;0.0599;0.8455
4.0;"carewro01";0.32286336;0.3795;0.3068;0.0728;0.8418
6.0;"cedence01";0.3450488817891374;0.4539;0.2974;0.1565;0.7135
15.0;"cepedor01";0.33579342327150086;0.4436;0.2891;0.1545;0.717
3.0;"ceyro01";0.3206757990867579;0.3969;0.2617;0.1352;0.7351
7.0;"chambch01";0.30406329866270426;0.3824;0.2736;0.1088;0.7602
10.0;"clemero01";0.3566055910543131;0.4635;0.3294;0.1341;0.768
10.0;"colavro01";0.3635635964912281;0.4679;0.2872;0.1807;0.6882
2.0;"cowenal01";0.27746628664495115;0.3408;0.2651;0.0757;0.7922
4.0;"daviswi02";0.31232964118564743;0.4127;0.2936;0.1191;0.7667
2.0;"evansdw01";0.32454723320158096;0.4212;0.2808;0.1404;0.7154
6.0;"gilliji01";0.32849197530864194;0.3454;0.2821;0.0633;0.8397
4.0;"groatdi01";0.2791043243243243;0.3212;0.2731;0.0481;0.8451
7.0;"harpeto01";0.3021198738170347;0.311;0.2346;0.0764;0.8333
11.0;"jacksre01";0.36089343696027637;0.4775;0.274;0.2035;0.6786
10.0;"javieju01";0.2539731343283582;0.306;0.2515;0.0546;0.8372
1.0;"kalinal01";0.28399962121212124;0.3472;0.2758;0.0714;0.8201
2.0;"kessido01";0.2665229390681003;0.3021;0.2739;0.0281;0.9247
2.0;"kuennha01";0.313547536231884;0.3902;0.3064;0.0838;0.806
1.0;"lemonch01";0.2755520408163265;0.3282;0.2461;0.082;0.7838
6.0;"luzingr01";0.3612169154228856;0.4784;0.3039;0.1745;0.6914
1.0;"maddoga01";0.3452491909385113;0.46;0.3186;0.1414;0.7273
3.0;"mantlmi01";0.40165747303543914;0.5249;0.3002;0.2247;0.6564
9.0;"matheed01";0.4006396706586826;0.535;0.3059;0.229;0.6514
14.0;"mayle01";0.3029350515463917;0.4123;0.2544;0.1579;0.7069
19.0;"mayswi01";0.3855142095914742;0.5063;0.2908;0.2155;0.6763
9.0;"mazerbi01";0.2731210424710425;0.3462;0.2713;0.0749;0.8209
14.0;"mcmilro01";0.2506892280071813;0.2917;0.2424;0.0492;0.8281
13.0;"olivato01";0.30942;0.378;0.2703;0.1077;0.813
4.0;"oliveal01";0.33693855024711694;0.4372;0.3115;0.1257;0.7557
1.0;"parrila01";0.3062873440285205;0.4098;0.2744;0.1353;0.6781
15.0;"pinsova01";0.27877020408163267;0.367;0.2597;0.1073;0.7686
18.0;"robinbr01";0.29424372937293725;0.3443;0.2568;0.0874;0.8014
1.0;"robinfr02";0.38419925037481256;0.5286;0.3224;0.2062;0.6802
1.0;"rosepe01";0.2867248648648648;0.3256;0.2694;0.0562;0.8633
1.0;"runnepe01";0.3159343949044586;0.3333;0.2847;0.0486;0.8608
11.0;"santoro01";0.33471595576619273;0.4234;0.2667;0.1568;0.7027
6.0;"schmimi01";0.33995811258278147;0.4347;0.2515;0.1832;0.6124
3.0;"scottge02";0.30881688741721863;0.3843;0.2532;0.1311;0.7482
4.0;"singlke01";0.33263926174496644;0.3757;0.2759;0.0998;0.7801
2.0;"smallro02";0.2814926204819277;0.3151;0.2312;0.0839;0.763
13.0;"torrejo01";0.33736953528399305;0.4027;0.2871;0.1156;0.7852
9.0;"virdobi01";0.258580396039604;0.2981;0.2431;0.055;0.8522
1.0;"whitalo01";0.3194227436823105;0.3574;0.2851;0.0723;0.8406
6.0;"whitebi03";0.37152607407407406;0.4821;0.3241;0.158;0.7286
11.0;"whitero01";0.3370040446304045;0.4089;0.2859;0.123;0.743
14.0;"willibi01";0.3440096124031008;0.4375;0.2882;0.1493;0.7349
9.0;"willsma01";0.28652481426448734;0.3158;0.2775;0.0383;0.8966
2.0;"winfida01";0.3228519163763066;0.4028;0.2672;0.1356;0.7279
11.0;"wynnji01";0.3789426153846154;0.4972;0.271;0.2262;0.6345
11.0;"yastrca01";0.3269244360902256;0.3912;0.2637;0.1275;0.7333
2.0;"yountro01";0.2596036818851252;0.3009;0.2524;0.0486;0.8509
1.0;"alomaro01";0.3136544787077827;0.3756;0.2953;0.0803;0.8098
12.0;"anderbr01";0.34623289473684205;0.4209;0.2569;0.164;0.6538
3.0;"anderga01";0.31501007633587785;0.4087;0.3029;0.1058;0.7513
0.0;"bagweje01";0.356760248447205;0.4368;0.2942;0.1426;0.7239
5.0;"baineha01";0.3442480291970803;0.4672;0.3094;0.1578;0.7273
9.0;"bellge02";0.3047895174708819;0.4217;0.2651;0.1566;0.6913
10.0;"bicheda01";0.3647226551226551;0.5091;0.3308;0.1782;0.6712
3.0;"biggicr01";0.3197592346089851;0.3736;0.2949;0.0788;0.8075
11.0;"boggswa01";0.3251057902973396;0.3625;0.3018;0.0607;0.8284
2.0;"bondsba01";0.36060833333333336;0.4907;0.2825;0.2082;0.6118
10.0;"bonilbo01";0.35976306569343064;0.4908;0.2874;0.2034;0.6491
4.0;"boonebr01";0.27134120781527526;0.3538;0.2327;0.1212;0.7025
5.0;"brunato01";0.31512276923076926;0.4233;0.2563;0.1669;0.6579
10.0;"butlebr01";0.33694224376731297;0.3431;0.2959;0.0472;0.8901
3.0;"caminke01";0.26571331058020475;0.3087;0.2421;0.0665;0.8015
2.0;"cartejo01";0.30044150579150575;0.409;0.2618;0.1472;0.6719
11.0;"castivi02";0.26284547038327527;0.3481;0.232;0.116;0.7063
4.0;"clarkwi02";0.34166890881913303;0.4483;0.295;0.1533;0.7232
2.0;"claytro01";0.304906365159129;0.3716;0.2823;0.0893;0.7935
2.0;"colemvi01";0.3221985652797704;0.3579;0.2889;0.069;0.85
13.0;"conceda01";0.25451408934707903;0.2803;0.233;0.0473;0.813
13.0;"coopece01";0.29501399046104926;0.3864;0.2753;0.1111;0.747
2.0;"damonjo01";0.31706046511627906;0.3856;0.2754;0.1102;0.7846
2.0;"davisch01";0.283040625;0.3519;0.2325;0.1193;0.6991
16.0;"dawsoan01";0.3238078397212544;0.4557;0.2768;0.179;0.66
3.0;"deshide01";0.3377634234234234;0.3721;0.2952;0.0769;0.8169
1.0;"dunnad01";0.36803746223564954;0.4542;0.2486;0.2056;0.5789
2.0;"durhara01";0.3139586741889986;0.3817;0.2713;0.1104;0.75
6.0;"erstada01";0.3000409785932721;0.3888;0.2832;0.1056;0.7627
11.0;"evansda01";0.3352095163806552;0.4137;0.2644;0.1493;0.7075
1.0;"finlest01";0.2750052;0.3276;0.2565;0.0711;0.8067
5.0;"frymatr01";0.3274529874213837;0.4092;0.2751;0.134;0.7372
3.0;"gaettga01";0.28940765625;0.3503;0.2619;0.0884;0.7532
15.0;"garvest01";0.29002727272727274;0.3728;0.2836;0.0891;0.7886
4.0;"glaustr01";0.34669325337331336;0.4534;0.2496;0.2039;0.6127
7.0;"gonzalu01";0.31228221153846153;0.3764;0.2582;0.1182;0.6972
2.0;"gracema01";0.3380826219512195;0.4126;0.309;0.1036;0.7692
1.0;"griffke02";0.3578941896024465;0.4807;0.2998;0.1809;0.6816
11.0;"grissma02";0.2783518867924528;0.3513;0.2437;0.1076;0.7655
1.0;"grudzma01";0.3167274566473988;0.3973;0.3059;0.0913;0.7811
0.0;"guilljo01";0.30611026615969583;0.4116;0.2671;0.1446;0.7068
3.0;"guilloz01";0.26470421585160203;0.3145;0.2615;0.053;0.8446
2.0;"gwynnto01";0.366911737804878;0.4439;0.3515;0.0924;0.831
1.0;"henderi01";0.36325980253878704;0.3993;0.3029;0.0964;0.8045
11.0;"hernake01";0.34467676161919036;0.43;0.3086;0.1214;0.7377
3.0;"herrto01";0.2940124324324324;0.3205;0.2657;0.0548;0.8244
1.0;"hrbekke01";0.35794480968858133;0.485;0.3008;0.1842;0.7
5.0;"jonesan01";0.32873550724637685;0.4608;0.2512;0.2096;0.6115
2.0;"joynewa01";0.3279277349768875;0.4188;0.2948;0.124;0.7386
11.0;"karroer01";0.31115664335664334;0.3989;0.271;0.1279;0.7183
1.0;"kentje01";0.3270511194029851;0.4456;0.2702;0.1754;0.6642
14.0;"kingmda01";0.31232158054711245;0.4172;0.2382;0.1791;0.6738
12.0;"lansfca01";0.28914605734767024;0.3195;0.2682;0.0513;0.8603
1.0;"leeca01";0.35321539708265803;0.4843;0.3007;0.1836;0.6802
1.0;"loftoke01";0.3220520186335404;0.3646;0.2847;0.0799;0.8293
10.0;"madlobi01";0.354133140655106;0.444;0.3235;0.1205;0.7843
6.0;"martiti02";0.35605975975975973;0.4655;0.2924;0.1731;0.6954
8.0;"matthga01";0.3215709415584415;0.4186;0.2785;0.1401;0.7547
9.0;"mattido01";0.30928425196850395;0.3935;0.2879;0.1056;0.7396
10.0;"mcgeewi01";0.3014362549800797;0.3544;0.2975;0.057;0.8369
14.0;"mcgrifr01";0.3552917431192661;0.4523;0.2774;0.1749;0.7134
7.0;"molitpa01";0.32861494435612076;0.408;0.2969;0.1111;0.7602
2.0;"mondera01";0.34751267361111116;0.4963;0.2854;0.2108;0.6405
13.0;"murphda05";0.2885519623233909;0.3606;0.2282;0.1324;0.7252
13.0;"murraed02";0.3929266025641026;0.5197;0.3297;0.19;0.7228
6.0;"olerujo01";0.3472630472854641;0.4045;0.2907;0.1138;0.7203
15.0;"oneilpa01";0.3257837060702875;0.424;0.2827;0.1413;0.725
3.0;"palmera01";0.31993508771929824;0.3739;0.2755;0.0984;0.7727
11.0;"parkeda01";0.31292837209302327;0.4102;0.285;0.1252;0.7457
1.0;"pendlte01";0.25854890756302523;0.3059;0.2397;0.0662;0.8209
11.0;"phillto02";0.37466576319543515;0.3975;0.3127;0.0848;0.8079
4.0;"piazzmi01";0.41476655737704915;0.5631;0.3364;0.2267;0.7174
4.0;"ramirma02";0.4034179566563468;0.5383;0.328;0.2103;0.6413
3.0;"ramirra01";0.308576443768997;0.3682;0.2974;0.0707;0.8649
14.0;"randowi01";0.3107939393939394;0.326;0.2823;0.0437;0.871
2.0;"renteed01";0.3059031578947368;0.3424;0.2824;0.06;0.8425
7.0;"riceji01";0.3310422764227642;0.4412;0.2838;0.1574;0.7188
14.0;"riceji01";0.31898666666666675;0.4062;0.2639;0.1423;0.7188
17.0;"ripkeca01";0.31457097264437694;0.3894;0.2712;0.1181;0.7423
1.0;"rolensc01";0.36184303215926494;0.4688;0.2834;0.1854;0.6289
12.0;"sandbry01";0.33438199999999996;0.4123;0.3092;0.1031;0.7943
4.0;"saxst01";0.29468619402985075;0.3176;0.2787;0.0389;0.9044
3.0;"smithoz01";0.25019375;0.2556;0.2222;0.0333;0.87
2.0;"soriaal01";0.3127256955810147;0.4321;0.2683;0.1638;0.6429
6.0;"sosasa01";0.3560593851132686;0.5;0.2677;0.2323;0.6291
4.0;"surhobj01";0.29689200743494426;0.3723;0.2891;0.0832;0.8082
8.0;"templga01";0.2611150390625;0.3205;0.2576;0.0629;0.811
9.0;"thomafr04";0.37397677642980937;0.4712;0.3045;0.1667;0.6554
6.0;"vanslan01";0.2934398481973434;0.3697;0.2374;0.1324;0.6814
1.0;"venturo01";0.286134;0.3185;0.2495;0.069;0.813
4.0;"vizquom01";0.27678276422764225;0.2982;0.2554;0.0429;0.8741
11.0;"wallati01";0.2710798092209857;0.3345;0.2253;0.1092;0.7231
4.0;"whitede03";0.28086197604790414;0.3711;0.2453;0.1258;0.7244
7.0;"whitefr01";0.2784278632478633;0.3571;0.2643;0.0929;0.7703
12.0;"zeileto01";0.322948275862069;0.3729;0.2655;0.1073;0.7447
13.0;"abreubo01";0.3554316666666667;0.4352;0.2931;0.1421;0.7152
12.0;"berkmla01";0.4017724561403509;0.5471;0.3012;0.2459;0.619
11.0;"cabreor01";0.3060086776859504;0.3707;0.2814;0.0893;0.7742
13.0;"castilu01";0.3280720430107527;0.3457;0.3025;0.0432;0.8912
1.0;"crawfca02";0.2896323170731707;0.3619;0.281;0.081;0.8192
14.0;"delgaca01";0.3305826377295493;0.448;0.2584;0.1896;0.6115
13.0;"dyeje01";0.34318164335664336;0.4533;0.2505;0.2028;0.627
12.0;"furcara01";0.29491961904761904;0.3459;0.2642;0.0818;0.7937
12.0;"gilesbr02";0.33566124314442414;0.4161;0.2712;0.1449;0.6794
14.0;"greensh01";0.3337134020618557;0.4305;0.2915;0.139;0.6846
15.0;"guerrvl01";0.3119727427597956;0.4164;0.29;0.1263;0.7301
12.0;"heltoto01";0.38444500000000004;0.489;0.3254;0.1636;0.6836
10.0;"howarry01";0.2997828393135726;0.3796;0.2232;0.1564;0.6693
11.0;"huffau01";0.28819842931937173;0.3704;0.2457;0.1248;0.6875
15.0;"hunteto01";0.35305223367697597;0.4513;0.3127;0.1386;0.7545
19.0;"jeterde01";0.27303019169329074;0.3133;0.2565;0.0568;0.8389
16.0;"jonesch06";0.34832750865051904;0.4303;0.2643;0.166;0.6667
10.0;"kendaja01";0.3150166129032258;0.3424;0.2953;0.0471;0.8528
16.0;"konerpa01";0.29376756756756756;0.3555;0.2441;0.1113;0.7544
11.0;"leede02";0.350928201438849;0.4623;0.2905;0.1717;0.6464
9.0;"lowelmi01";0.3718947611710324;0.5008;0.3243;0.1766;0.6859
10.0;"morame01";0.2974251012145749;0.3578;0.26;0.0978;0.7607
12.0;"ordonma01";0.34843682170542634;0.428;0.3097;0.1183;0.7569
14.0;"ortizda01";0.3972799325463744;0.5543;0.3086;0.2457;0.5679
10.0;"pierrju01";0.2960567454798331;0.3164;0.275;0.0415;0.8771
13.0;"polanpl01";0.29884750957854406;0.339;0.2772;0.0618;0.8538
16.0;"ramirar01";0.32538052930056716;0.4271;0.2854;0.1417;0.7234
18.0;"rodrial01";0.3400279467680608;0.4298;0.2721;0.1577;0.7143
15.0;"rodriiv01";0.3267653846153846;0.4369;0.2998;0.1371;0.7256
11.0;"rolliji01";0.3192271565495208;0.3986;0.2681;0.1305;0.7368
0.0;"teixema01";0.34381147260273975;0.4802;0.259;0.2212;0.562
10.0;"tejadmi01";0.342362969588551;0.4416;0.2957;0.1459;0.75
11.0;"vaughmo01";0.34695615942028984;0.4559;0.2587;0.1971;0.6508
10.0;"wellsve01";0.3039878299120235;0.4;0.2603;0.1397;0.6646
14.0;"willibe02";0.30124430147058817;0.367;0.2495;0.1175;0.7355
10.0;"winnra01";0.33597848484848486;0.4264;0.306;0.1204;0.7268
10.0;"wrighda03";0.299302925989673;0.3738;0.2692;0.1047;0.7292
12.0;"youngmi02";0.2929594135802469;0.3699;0.2766;0.0933;0.7751
